Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
04/26/2024 00:00,CAPITL,61757,23.12,0.50,0.00
04/26/2024 00:00,CENTRL,61754,23.12,0.50,0.00
04/26/2024 00:00,DUNWOD,61760,23.96,1.33,0.00
04/26/2024 00:00,GENESE,61753,22.74,0.11,0.00
04/26/2024 00:00,H Q,61844,22.51,-0.11,0.00
04/26/2024 00:00,HUD VL,61758,23.78,1.15,0.00
04/26/2024 00:00,LONGIL,61762,25.61,1.90,-1.09
04/26/2024 00:00,MHK VL,61756,23.50,0.88,0.00
04/26/2024 00:00,MILLWD,61759,23.87,1.24,0.00
04/26/2024 00:00,N.Y.C.,61761,24.21,1.58,0.00
04/26/2024 00:00,NORTH,61755,22.44,-0.18,0.00
04/26/2024 00:00,NPX,61845,23.28,0.66,0.00
04/26/2024 00:00,O H,61846,22.67,0.05,0.00
04/26/2024 00:00,PJM,61847,23.28,0.66,0.00
04/26/2024 00:00,WEST,61752,23.19,0.57,0.00
04/26/2024 01:00,CAPITL,61757,21.38,0.52,0.00
04/26/2024 01:00,CENTRL,61754,21.23,0.38,0.00
04/26/2024 01:00,DUNWOD,61760,21.98,1.13,0.00
04/26/2024 01:00,GENESE,61753,20.81,-0.04,0.00
04/26/2024 01:00,H Q,61844,20.77,-0.08,0.00
04/26/2024 01:00,HUD VL,61758,21.83,0.98,0.00
04/26/2024 01:00,LONGIL,61762,24.72,1.65,-2.22
04/26/2024 01:00,MHK VL,61756,21.69,0.84,0.00
04/26/2024 01:00,MILLWD,61759,21.92,1.06,0.00
04/26/2024 01:00,N.Y.C.,61761,22.19,1.34,0.00
04/26/2024 01:00,NORTH,61755,20.77,-0.08,0.00
04/26/2024 01:00,NPX,61845,21.52,0.67,0.00
04/26/2024 01:00,O H,61846,20.73,-0.12,0.00
04/26/2024 01:00,PJM,61847,21.35,0.50,0.00
04/26/2024 01:00,WEST,61752,21.21,0.35,0.00
04/26/2024 02:00,CAPITL,61757,20.56,0.46,0.00
04/26/2024 02:00,CENTRL,61754,20.52,0.42,0.00
04/26/2024 02:00,DUNWOD,61760,21.12,1.02,0.00
04/26/2024 02:00,GENESE,61753,20.18,0.08,0.00
04/26/2024 02:00,H Q,61844,20.02,-0.08,0.00
04/26/2024 02:00,HUD VL,61758,21.01,0.91,0.00
04/26/2024 02:00,LONGIL,61762,26.15,1.53,-4.52
04/26/2024 02:00,MHK VL,61756,20.88,0.78,0.00
04/26/2024 02:00,MILLWD,61759,21.10,1.00,0.00
04/26/2024 02:00,N.Y.C.,61761,21.33,1.23,0.00
04/26/2024 02:00,NORTH,61755,20.04,-0.06,0.00
04/26/2024 02:00,NPX,61845,20.70,0.60,0.00
04/26/2024 02:00,O H,61846,20.16,0.06,0.00
04/26/2024 02:00,PJM,61847,20.62,0.52,0.00
04/26/2024 02:00,WEST,61752,20.62,0.52,0.00
04/26/2024 03:00,CAPITL,61757,20.47,0.46,0.00
04/26/2024 03:00,CENTRL,61754,20.43,0.42,0.00
04/26/2024 03:00,DUNWOD,61760,21.03,1.02,0.00
04/26/2024 03:00,GENESE,61753,20.11,0.10,0.00
04/26/2024 03:00,H Q,61844,19.93,-0.08,0.00
04/26/2024 03:00,HUD VL,61758,20.91,0.90,0.00
04/26/2024 03:00,LONGIL,61762,23.05,1.52,-1.52
04/26/2024 03:00,MHK VL,61756,20.79,0.78,0.00
04/26/2024 03:00,MILLWD,61759,20.99,0.98,0.00
04/26/2024 03:00,N.Y.C.,61761,21.21,1.20,0.00
04/26/2024 03:00,NORTH,61755,19.95,-0.06,0.00
04/26/2024 03:00,NPX,61845,20.59,0.58,0.00
04/26/2024 03:00,O H,61846,20.09,0.08,0.00
04/26/2024 03:00,PJM,61847,20.53,0.52,0.00
04/26/2024 03:00,WEST,61752,20.55,0.54,0.00
04/26/2024 04:00,CAPITL,61757,21.48,0.50,0.00
04/26/2024 04:00,CENTRL,61754,21.34,0.36,0.00
04/26/2024 04:00,DUNWOD,61760,22.11,1.13,0.00
04/26/2024 04:00,GENESE,61753,20.77,-0.21,0.00
04/26/2024 04:00,H Q,61844,20.92,-0.06,0.00
04/26/2024 04:00,HUD VL,61758,22.01,1.03,0.00
04/26/2024 04:00,LONGIL,61762,24.16,1.70,-1.49
04/26/2024 04:00,MHK VL,61756,21.82,0.84,0.00
04/26/2024 04:00,MILLWD,61759,22.09,1.11,0.00
04/26/2024 04:00,N.Y.C.,61761,22.31,1.32,0.00
04/26/2024 04:00,NORTH,61755,20.96,-0.02,0.00
04/26/2024 04:00,NPX,61845,21.67,0.69,0.00
04/26/2024 04:00,O H,61846,20.64,-0.34,0.00
04/26/2024 04:00,PJM,61847,21.44,0.46,0.00
04/26/2024 04:00,WEST,61752,21.15,0.17,0.00
04/26/2024 05:00,CAPITL,61757,25.29,0.57,0.00
04/26/2024 05:00,CENTRL,61754,25.19,0.47,0.00
04/26/2024 05:00,DUNWOD,61760,26.13,1.41,0.00
04/26/2024 05:00,GENESE,61753,24.52,-0.20,0.00
04/26/2024 05:00,H Q,61844,28.19,-0.10,-3.57
04/26/2024 05:00,HUD VL,61758,25.95,1.24,0.00
04/26/2024 05:00,LONGIL,61762,29.39,2.05,-2.62
04/26/2024 05:00,MHK VL,61756,25.73,1.01,0.00
04/26/2024 05:00,MILLWD,61759,26.08,1.36,0.00
04/26/2024 05:00,N.Y.C.,61761,26.32,1.61,0.00
04/26/2024 05:00,NORTH,61755,24.72,0.00,0.00
04/26/2024 05:00,NPX,61845,25.58,0.86,0.00
04/26/2024 05:00,O H,61846,24.32,-0.40,0.00
04/26/2024 05:00,PJM,61847,25.36,0.64,0.00
04/26/2024 05:00,WEST,61752,24.99,0.27,0.00
04/26/2024 06:00,CAPITL,61757,33.56,1.10,0.00
