"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"12/10/2023 00:05:00","CAPITL",61757,20.50,0.73,0.00
"12/10/2023 00:05:00","CENTRL",61754,19.33,-0.43,0.00
"12/10/2023 00:05:00","DUNWOD",61760,20.75,0.99,0.00
"12/10/2023 00:05:00","GENESE",61753,18.64,-1.13,0.00
"12/10/2023 00:05:00","H Q",61844,19.86,0.10,0.00
"12/10/2023 00:05:00","HUD VL",61758,20.67,0.91,0.00
"12/10/2023 00:05:00","LONGIL",61762,21.17,1.40,0.00
"12/10/2023 00:05:00","MHK VL",61756,19.82,0.06,0.00
"12/10/2023 00:05:00","MILLWD",61759,20.71,0.95,0.00
"12/10/2023 00:05:00","N.Y.C.",61761,20.77,1.01,0.00
"12/10/2023 00:05:00","NORTH",61755,20.02,0.26,0.00
"12/10/2023 00:05:00","NPX",61845,20.48,0.71,0.00
"12/10/2023 00:05:00","O H",61846,18.01,-1.76,0.00
"12/10/2023 00:05:00","PJM",61847,19.59,-0.18,0.00
"12/10/2023 00:05:00","WEST",61752,18.36,-1.40,0.00
"12/10/2023 00:10:00","CAPITL",61757,19.85,0.71,0.00
"12/10/2023 00:10:00","CENTRL",61754,18.76,-0.38,0.00
"12/10/2023 00:10:00","DUNWOD",61760,20.09,0.96,0.00
"12/10/2023 00:10:00","GENESE",61753,18.12,-1.01,0.00
"12/10/2023 00:10:00","H Q",61844,19.23,0.10,0.00
"12/10/2023 00:10:00","HUD VL",61758,20.02,0.88,0.00
"12/10/2023 00:10:00","LONGIL",61762,20.52,1.38,0.00
"12/10/2023 00:10:00","MHK VL",61756,19.20,0.06,0.00
"12/10/2023 00:10:00","MILLWD",61759,20.06,0.92,0.00
"12/10/2023 00:10:00","N.Y.C.",61761,20.11,0.98,0.00
"12/10/2023 00:10:00","NORTH",61755,19.31,0.17,0.00
"12/10/2023 00:10:00","NPX",61845,19.83,0.69,0.00
"12/10/2023 00:10:00","O H",61846,17.53,-1.61,0.00
"12/10/2023 00:10:00","PJM",61847,18.98,-0.15,0.00
"12/10/2023 00:10:00","WEST",61752,17.84,-1.30,0.00
"12/10/2023 00:15:00","CAPITL",61757,19.85,0.71,0.00
"12/10/2023 00:15:00","CENTRL",61754,18.77,-0.36,0.00
"12/10/2023 00:15:00","DUNWOD",61760,20.08,0.94,0.00
"12/10/2023 00:15:00","GENESE",61753,18.18,-0.96,0.00
"12/10/2023 00:15:00","H Q",61844,19.21,0.08,0.00
"12/10/2023 00:15:00","HUD VL",61758,20.02,0.88,0.00
"12/10/2023 00:15:00","LONGIL",61762,20.50,1.36,0.00
"12/10/2023 00:15:00","MHK VL",61756,19.20,0.06,0.00
"12/10/2023 00:15:00","MILLWD",61759,20.04,0.90,0.00
"12/10/2023 00:15:00","N.Y.C.",61761,20.11,0.98,0.00
"12/10/2023 00:15:00","NORTH",61755,19.29,0.15,0.00
"12/10/2023 00:15:00","NPX",61845,19.83,0.69,0.00
"12/10/2023 00:15:00","O H",61846,17.63,-1.51,0.00
"12/10/2023 00:15:00","PJM",61847,19.00,-0.13,0.00
"12/10/2023 00:15:00","WEST",61752,17.91,-1.23,0.00
"12/10/2023 00:20:00","CAPITL",61757,19.67,0.70,0.00
"12/10/2023 00:20:00","CENTRL",61754,18.61,-0.36,0.00
"12/10/2023 00:20:00","DUNWOD",61760,19.90,0.93,0.00
"12/10/2023 00:20:00","GENESE",61753,18.01,-0.97,0.00
"12/10/2023 00:20:00","H Q",61844,19.05,0.08,0.00
"12/10/2023 00:20:00","HUD VL",61758,19.85,0.87,0.00
"12/10/2023 00:20:00","LONGIL",61762,20.32,1.35,0.00
"12/10/2023 00:20:00","MHK VL",61756,19.01,0.04,0.00
"12/10/2023 00:20:00","MILLWD",61759,19.86,0.89,0.00
"12/10/2023 00:20:00","N.Y.C.",61761,19.94,0.97,0.00
"12/10/2023 00:20:00","NORTH",61755,19.12,0.15,0.00
"12/10/2023 00:20:00","NPX",61845,19.65,0.68,0.00
"12/10/2023 00:20:00","O H",61846,17.44,-1.54,0.00
"12/10/2023 00:20:00","PJM",61847,18.86,-0.11,0.00
"12/10/2023 00:20:00","WEST",61752,17.74,-1.23,0.00
"12/10/2023 00:25:00","CAPITL",61757,19.64,0.72,0.00
"12/10/2023 00:25:00","CENTRL",61754,18.50,-0.42,0.00
"12/10/2023 00:25:00","DUNWOD",61760,19.88,0.96,0.00
"12/10/2023 00:25:00","GENESE",61753,17.90,-1.02,0.00
"12/10/2023 00:25:00","H Q",61844,18.99,0.08,0.00
"12/10/2023 00:25:00","HUD VL",61758,19.83,0.91,0.00
"12/10/2023 00:25:00","LONGIL",61762,20.30,1.38,0.00
"12/10/2023 00:25:00","MHK VL",61756,18.96,0.04,0.00
"12/10/2023 00:25:00","MILLWD",61759,19.85,0.93,0.00
"12/10/2023 00:25:00","N.Y.C.",61761,19.92,1.00,0.00
"12/10/2023 00:25:00","NORTH",61755,19.05,0.13,0.00
"12/10/2023 00:25:00","NPX",61845,19.62,0.70,0.00
"12/10/2023 00:25:00","O H",61846,17.33,-1.59,0.00
"12/10/2023 00:25:00","PJM",61847,18.77,-0.15,0.00
"12/10/2023 00:25:00","WEST",61752,17.61,-1.31,0.00
"12/10/2023 00:30:00","CAPITL",61757,19.66,0.74,0.00
"12/10/2023 00:30:00","CENTRL",61754,18.50,-0.42,0.00
"12/10/2023 00:30:00","DUNWOD",61760,19.88,0.96,0.00
"12/10/2023 00:30:00","GENESE",61753,17.90,-1.02,0.00
"12/10/2023 00:30:00","H Q",61844,18.99,0.08,0.00
"12/10/2023 00:30:00","HUD VL",61758,19.81,0.89,0.00
"12/10/2023 00:30:00","LONGIL",61762,20.28,1.36,0.00
"12/10/2023 00:30:00","MHK VL",61756,18.96,0.04,0.00
"12/10/2023 00:30:00","MILLWD",61759,19.85,0.93,0.00
"12/10/2023 00:30:00","N.Y.C.",61761,19.92,1.00,0.00
"12/10/2023 00:30:00","NORTH",61755,19.03,0.11,0.00
"12/10/2023 00:30:00","NPX",61845,19.62,0.70,0.00
"12/10/2023 00:30:00","O H",61846,17.31,-1.61,0.00
"12/10/2023 00:30:00","PJM",61847,18.77,-0.15,0.00
"12/10/2023 00:30:00","WEST",61752,17.61,-1.31,0.00
"12/10/2023 00:35:00","CAPITL",61757,19.64,0.74,0.00
"12/10/2023 00:35:00","CENTRL",61754,18.45,-0.45,0.00
"12/10/2023 00:35:00","DUNWOD",61760,19.86,0.96,0.00
"12/10/2023 00:35:00","GENESE",61753,17.86,-1.04,0.00
"12/10/2023 00:35:00","H Q",61844,18.97,0.08,0.00
"12/10/2023 00:35:00","HUD VL",61758,19.79,0.89,0.00
"12/10/2023 00:35:00","LONGIL",61762,20.26,1.36,0.00
"12/10/2023 00:35:00","MHK VL",61756,18.92,0.02,0.00
"12/10/2023 00:35:00","MILLWD",61759,19.82,0.93,0.00
"12/10/2023 00:35:00","N.Y.C.",61761,19.90,1.00,0.00
"12/10/2023 00:35:00","NORTH",61755,19.01,0.11,0.00
"12/10/2023 00:35:00","NPX",61845,19.62,0.72,0.00
"12/10/2023 00:35:00","O H",61846,17.27,-1.63,0.00
"12/10/2023 00:35:00","PJM",61847,18.73,-0.17,0.00
"12/10/2023 00:35:00","WEST",61752,17.54,-1.36,0.00
"12/10/2023 00:40:00","CAPITL",61757,19.06,0.70,0.00
"12/10/2023 00:40:00","CENTRL",61754,18.39,-0.40,-0.44
"12/10/2023 00:40:00","DUNWOD",61760,19.30,0.94,0.00
"12/10/2023 00:40:00","GENESE",61753,16.19,-0.88,1.29
"12/10/2023 00:40:00","H Q",61844,18.42,0.06,0.00
"12/10/2023 00:40:00","HUD VL",61758,19.24,0.88,0.00
"12/10/2023 00:40:00","LONGIL",61762,19.68,1.32,0.00
"12/10/2023 00:40:00","MHK VL",61756,18.40,0.04,0.00
"12/10/2023 00:40:00","MILLWD",61759,19.26,0.90,0.00
"12/10/2023 00:40:00","N.Y.C.",61761,19.33,0.97,0.00
"12/10/2023 00:40:00","NORTH",61755,18.44,0.07,0.00
"12/10/2023 00:40:00","NPX",61845,19.06,0.70,0.00
"12/10/2023 00:40:00","O H",61846,14.05,-1.36,2.95
"12/10/2023 00:40:00","PJM",61847,15.40,-0.07,2.89
"12/10/2023 00:40:00","WEST",61752,14.11,-1.07,3.19
"12/10/2023 00:45:00","CAPITL",61757,20.25,0.74,0.00
"12/10/2023 00:45:00","CENTRL",61754,19.53,-0.43,-0.45
"12/10/2023 00:45:00","DUNWOD",61760,20.49,0.98,0.00
"12/10/2023 00:45:00","GENESE",61753,17.22,-0.96,1.33
"12/10/2023 00:45:00","H Q",61844,19.57,0.06,0.00
"12/10/2023 00:45:00","HUD VL",61758,20.43,0.92,0.00
"12/10/2023 00:45:00","LONGIL",61762,20.90,1.39,0.00
"12/10/2023 00:45:00","MHK VL",61756,19.55,0.04,0.00
"12/10/2023 00:45:00","MILLWD",61759,20.45,0.94,0.00
"12/10/2023 00:45:00","N.Y.C.",61761,20.51,0.99,0.00
"12/10/2023 00:45:00","NORTH",61755,19.57,0.06,0.00
"12/10/2023 00:45:00","NPX",61845,20.25,0.74,0.00
