"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"12/05/2023","12/02/2023","Actual","ALB",47,43,45,41
"12/05/2023","12/02/2023","Actual","ART",41,36,40,35
"12/05/2023","12/02/2023","Actual","BGM",52,39,49,38
"12/05/2023","12/02/2023","Actual","BUF",43,38,43,38
"12/05/2023","12/02/2023","Actual","ELM",54,40,51,40
"12/05/2023","12/02/2023","Actual","ELZ",50,40,47,40
"12/05/2023","12/02/2023","Actual","FOK",51,46,50,46
"12/05/2023","12/02/2023","Actual","FRG",56,47,52,46
"12/05/2023","12/02/2023","Actual","GFL",43,35,43,35
"12/05/2023","12/02/2023","Actual","HPN",56,43,52,43
"12/05/2023","12/02/2023","Actual","IAG",43,39,42,38
"12/05/2023","12/02/2023","Actual","ISP",57,47,52,46
"12/05/2023","12/02/2023","Actual","ITH",51,40,49,39
"12/05/2023","12/02/2023","Actual","JFK",52,45,50,45
"12/05/2023","12/02/2023","Actual","LGA",58,47,52,45
"12/05/2023","12/02/2023","Actual","MSS",37,35,37,33
"12/05/2023","12/02/2023","Actual","MSV",52,35,50,35
"12/05/2023","12/02/2023","Actual","NYC",59,47,52,45
"12/05/2023","12/02/2023","Actual","PLB",38,33,38,33
"12/05/2023","12/02/2023","Actual","POU",51,39,48,39
"12/05/2023","12/02/2023","Actual","ROC",45,40,43,39
"12/05/2023","12/02/2023","Actual","SLK",39,33,38,33
"12/05/2023","12/02/2023","Actual","SWF",50,41,49,41
"12/05/2023","12/02/2023","Actual","SYR",49,41,45,40
"12/05/2023","12/02/2023","Actual","UCA",45,39,44,39
"12/05/2023","12/03/2023","Actual","ALB",42,40,41,38
"12/05/2023","12/03/2023","Actual","ART",45,35,44,34
"12/05/2023","12/03/2023","Actual","BGM",46,43,45,42
"12/05/2023","12/03/2023","Actual","BUF",45,39,44,39
"12/05/2023","12/03/2023","Actual","ELM",50,42,48,42
"12/05/2023","12/03/2023","Actual","ELZ",49,38,47,37
"12/05/2023","12/03/2023","Actual","FOK",50,45,49,44
"12/05/2023","12/03/2023","Actual","FRG",51,47,50,46
"12/05/2023","12/03/2023","Actual","GFL",39,36,39,36
"12/05/2023","12/03/2023","Actual","HPN",48,44,47,43
"12/05/2023","12/03/2023","Actual","IAG",45,39,44,38
"12/05/2023","12/03/2023","Actual","ISP",51,46,50,46
"12/05/2023","12/03/2023","Actual","ITH",47,40,47,40
"12/05/2023","12/03/2023","Actual","JFK",50,47,50,47
"12/05/2023","12/03/2023","Actual","LGA",51,47,49,46
"12/05/2023","12/03/2023","Actual","MSS",36,31,35,29
"12/05/2023","12/03/2023","Actual","MSV",43,38,43,38
"12/05/2023","12/03/2023","Actual","NYC",53,49,50,47
"12/05/2023","12/03/2023","Actual","PLB",33,30,33,30
"12/05/2023","12/03/2023","Actual","POU",47,39,46,39
"12/05/2023","12/03/2023","Actual","ROC",46,40,44,39
"12/05/2023","12/03/2023","Actual","SLK",35,31,34,31
"12/05/2023","12/03/2023","Actual","SWF",46,41,45,41
"12/05/2023","12/03/2023","Actual","SYR",49,41,47,40
"12/05/2023","12/03/2023","Actual","UCA",41,39,41,39
"12/05/2023","12/04/2023","Actual","ALB",47,37,44,34
"12/05/2023","12/04/2023","Actual","ART",42,31,41,30
"12/05/2023","12/04/2023","Actual","BGM",42,33,40,31
"12/05/2023","12/04/2023","Actual","BUF",41,36,39,33
"12/05/2023","12/04/2023","Actual","ELM",45,38,42,35
"12/05/2023","12/04/2023","Actual","ELZ",39,32,37,31
"12/05/2023","12/04/2023","Actual","FOK",53,40,47,37
"12/05/2023","12/04/2023","Actual","FRG",54,43,46,39
"12/05/2023","12/04/2023","Actual","GFL",46,32,41,32
"12/05/2023","12/04/2023","Actual","HPN",50,38,45,35
"12/05/2023","12/04/2023","Actual","IAG",42,37,40,33
"12/05/2023","12/04/2023","Actual","ISP",54,40,46,38
"12/05/2023","12/04/2023","Actual","ITH",43,32,41,32
"12/05/2023","12/04/2023","Actual","JFK",51,42,46,39
"12/05/2023","12/04/2023","Actual","LGA",52,44,45,38
"12/05/2023","12/04/2023","Actual","MSS",36,27,34,26
"12/05/2023","12/04/2023","Actual","MSV",43,34,40,33
"12/05/2023","12/04/2023","Actual","NYC",52,43,47,38
"12/05/2023","12/04/2023","Actual","PLB",36,25,35,24
"12/05/2023","12/04/2023","Actual","POU",50,40,45,37
"12/05/2023","12/04/2023","Actual","ROC",44,34,42,32
"12/05/2023","12/04/2023","Actual","SLK",35,24,34,23
"12/05/2023","12/04/2023","Actual","SWF",48,37,44,35
"12/05/2023","12/04/2023","Actual","SYR",46,34,43,32
"12/05/2023","12/04/2023","Actual","UCA",44,32,43,31
"12/05/2023","12/05/2023","Forecast","ALB",37,32,34,29
"12/05/2023","12/05/2023","Forecast","ART",34,29,31,28
"12/05/2023","12/05/2023","Forecast","BGM",34,30,31,28
"12/05/2023","12/05/2023","Forecast","BUF",36,32,33,29
"12/05/2023","12/05/2023","Forecast","ELM",39,31,35,30
"12/05/2023","12/05/2023","Forecast","ELZ",33,29,31,28
"12/05/2023","12/05/2023","Forecast","FOK",44,34,38,32
"12/05/2023","12/05/2023","Forecast","FRG",44,37,38,34
"12/05/2023","12/05/2023","Forecast","GFL",33,27,32,25
"12/05/2023","12/05/2023","Forecast","HPN",42,36,37,32
"12/05/2023","12/05/2023","Forecast","IAG",38,32,34,30
"12/05/2023","12/05/2023","Forecast","ISP",45,36,38,33
"12/05/2023","12/05/2023","Forecast","ITH",34,30,31,29
"12/05/2023","12/05/2023","Forecast","JFK",43,38,38,35
"12/05/2023","12/05/2023","Forecast","LGA",44,40,39,35
"12/05/2023","12/05/2023","Forecast","MSS",29,21,27,20
"12/05/2023","12/05/2023","Forecast","MSV",37,28,33,27
"12/05/2023","12/05/2023","Forecast","NYC",43,39,38,34
"12/05/2023","12/05/2023","Forecast","PLB",28,20,26,19
"12/05/2023","12/05/2023","Forecast","POU",42,33,38,31
"12/05/2023","12/05/2023","Forecast","ROC",37,32,33,31
"12/05/2023","12/05/2023","Forecast","SLK",27,20,25,19
"12/05/2023","12/05/2023","Forecast","SWF",40,34,36,31
"12/05/2023","12/05/2023","Forecast","SYR",37,33,33,31
"12/05/2023","12/05/2023","Forecast","UCA",33,29,31,28
"12/05/2023","12/06/2023","Forecast","ALB",34,26,30,23
"12/05/2023","12/06/2023","Forecast","ART",28,21,27,19
"12/05/2023","12/06/2023","Forecast","BGM",31,27,29,24
"12/05/2023","12/06/2023","Forecast","BUF",32,29,31,27
"12/05/2023","12/06/2023","Forecast","ELM",35,26,30,24
"12/05/2023","12/06/2023","Forecast","ELZ",30,25,29,23
"12/05/2023","12/06/2023","Forecast","FOK",40,30,35,28
"12/05/2023","12/06/2023","Forecast","FRG",42,32,36,29
"12/05/2023","12/06/2023","Forecast","GFL",31,19,27,18
"12/05/2023","12/06/2023","Forecast","HPN",39,30,33,27
"12/05/2023","12/06/2023","Forecast","IAG",34,31,31,28
"12/05/2023","12/06/2023","Forecast","ISP",41,31,35,28
"12/05/2023","12/06/2023","Forecast","ITH",31,25,29,23
"12/05/2023","12/06/2023","Forecast","JFK",41,33,35,29
"12/05/2023","12/06/2023","Forecast","LGA",42,36,35,31
"12/05/2023","12/06/2023","Forecast","MSS",22,15,20,14
"12/05/2023","12/06/2023","Forecast","MSV",34,22,29,20
"12/05/2023","12/06/2023","Forecast","NYC",41,35,35,30
"12/05/2023","12/06/2023","Forecast","PLB",23,14,20,13
"12/05/2023","12/06/2023","Forecast","POU",39,27,33,24
"12/05/2023","12/06/2023","Forecast","ROC",32,28,31,26
