Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
07/11/2024 00:00,CAPITL,61757,38.93,2.34,0.00
07/11/2024 00:00,CENTRL,61754,37.37,0.22,-0.57
07/11/2024 00:00,DUNWOD,61760,40.24,3.66,0.00
07/11/2024 00:00,GENESE,61753,35.96,-0.62,0.00
07/11/2024 00:00,H Q,61844,35.60,-0.99,0.00
07/11/2024 00:00,HUD VL,61758,39.73,3.15,0.00
07/11/2024 00:00,LONGIL,61762,44.11,4.39,-3.14
07/11/2024 00:00,MHK VL,61756,38.25,1.35,-0.32
07/11/2024 00:00,MILLWD,61759,40.02,3.44,0.00
07/11/2024 00:00,N.Y.C.,61761,41.06,4.02,-0.45
07/11/2024 00:00,NORTH,61755,35.08,-1.50,0.00
07/11/2024 00:00,NPX,61845,38.96,2.38,0.00
07/11/2024 00:00,O H,61846,34.76,-1.83,0.00
07/11/2024 00:00,PJM,61847,37.68,1.10,0.00
07/11/2024 00:00,WEST,61752,35.52,-1.06,0.00
07/11/2024 01:00,CAPITL,61757,34.04,2.02,0.00
07/11/2024 01:00,CENTRL,61754,32.50,0.10,-0.38
07/11/2024 01:00,DUNWOD,61760,35.23,3.20,0.00
07/11/2024 01:00,GENESE,61753,31.22,-0.80,0.00
07/11/2024 01:00,H Q,61844,31.60,-0.86,-0.44
07/11/2024 01:00,HUD VL,61758,34.78,2.75,0.00
07/11/2024 01:00,LONGIL,61762,43.35,3.87,-7.45
07/11/2024 01:00,MHK VL,61756,33.39,1.15,-0.21
07/11/2024 01:00,MILLWD,61759,35.03,3.01,0.00
07/11/2024 01:00,N.Y.C.,61761,35.57,3.52,-0.02
07/11/2024 01:00,NORTH,61755,30.81,-1.22,0.00
07/11/2024 01:00,NPX,61845,34.61,2.15,-0.44
07/11/2024 01:00,O H,61846,30.54,-1.92,-0.44
07/11/2024 01:00,PJM,61847,33.33,0.86,-0.44
07/11/2024 01:00,WEST,61752,30.71,-1.31,0.00
07/11/2024 02:00,CAPITL,61757,33.55,1.85,-0.26
07/11/2024 02:00,CENTRL,61754,31.82,-0.03,-0.42
07/11/2024 02:00,DUNWOD,61760,34.50,2.86,-0.20
07/11/2024 02:00,GENESE,61753,30.67,-0.78,-0.02
07/11/2024 02:00,H Q,61844,30.21,-0.78,0.44
07/11/2024 02:00,HUD VL,61758,34.08,2.45,-0.19
07/11/2024 02:00,LONGIL,61762,42.47,3.52,-7.51
07/11/2024 02:00,MHK VL,61756,32.79,1.10,-0.25
07/11/2024 02:00,MILLWD,61759,34.34,2.70,-0.20
07/11/2024 02:00,N.Y.C.,61761,34.78,3.14,-0.20
07/11/2024 02:00,NORTH,61755,30.31,-1.13,0.00
07/11/2024 02:00,NPX,61845,33.11,1.89,0.21
07/11/2024 02:00,O H,61846,29.04,-1.98,0.41
07/11/2024 02:00,PJM,61847,31.62,0.50,0.32
07/11/2024 02:00,WEST,61752,29.77,-1.70,-0.03
07/11/2024 03:00,CAPITL,61757,32.07,1.78,-0.06
07/11/2024 03:00,CENTRL,61754,30.46,-0.06,-0.30
07/11/2024 03:00,DUNWOD,61760,33.05,2.78,-0.05
07/11/2024 03:00,GENESE,61753,29.33,-0.91,-0.01
07/11/2024 03:00,H Q,61844,29.51,-0.73,-0.01
07/11/2024 03:00,HUD VL,61758,32.69,2.42,-0.04
07/11/2024 03:00,LONGIL,61762,41.67,3.38,-8.06
07/11/2024 03:00,MHK VL,61756,31.41,1.03,-0.15
