"Time Stamp","Capitl","Centrl","Dunwod","Genese","Hud Vl","Longil","Mhk Vl","Millwd","N.Y.C.","North","West","NYISO"
"10/08/2024 00:00",1039,1287,488,862,787,1686,628,218,4291,579,1492,13357
"10/08/2024 01:00",1010,1249,465,836,758,1599,610,210,4108,578,1458,12881
"10/08/2024 02:00",998,1221,443,819,739,1543,603,206,3976,578,1437,12563
"10/08/2024 03:00",991,1220,436,814,730,1514,602,200,3898,579,1427,12411
"10/08/2024 04:00",1011,1248,440,829,739,1535,619,203,3907,585,1438,12554
"10/08/2024 05:00",1068,1340,464,877,781,1622,668,217,4092,596,1496,13221
"10/08/2024 06:00",1176,1511,517,968,853,1757,752,244,4520,617,1609,14524
"10/08/2024 07:00",1195,1564,552,1009,867,1801,780,252,4899,627,1664,15210
"10/08/2024 08:00",1119,1464,557,957,804,1764,740,253,5132,618,1651,15059
"10/08/2024 09:00",1033,1316,548,900,697,1676,668,247,5249,608,1622,14564
"10/08/2024 10:00",976,1249,537,899,629,1595,614,240,5276,604,1616,14235
"10/08/2024 11:00",958,1246,541,892,607,1582,590,236,5339,603,1612,14206
"10/08/2024 12:00",949,1264,551,888,618,1563,580,239,5383,599,1604,14238
"10/08/2024 13:00",957,1298,563,884,626,1649,575,241,5436,597,1618,14444
"10/08/2024 14:00",967,1303,567,894,677,1777,578,250,5474,594,1614,14695
"10/08/2024 15:00",1020,1341,577,910,744,1862,588,258,5512,596,1614,15022
"10/08/2024 16:00",1103,1403,593,940,830,1964,628,262,5571,606,1616,15516
"10/08/2024 17:00",1206,1506,615,997,923,2096,708,276,5608,618,1635,16188
"10/08/2024 18:00",1297,1620,636,1060,1006,2244,813,297,5523,632,1661,16789
"10/08/2024 19:00",1327,1656,648,1094,1043,2296,848,301,5504,640,1712,17069
"10/08/2024 20:00",1291,1605,621,1069,1015,2207,822,288,5295,635,1697,16545
"10/08/2024 21:00",1225,1524,589,1017,962,2076,779,275,5061,619,1660,15787
"10/08/2024 22:00",1144,1427,551,952,896,1919,728,255,4761,604,1596,14833
"10/08/2024 23:00",1078,1348,509,899,830,1772,680,232,4449,596,1535,13928
"10/09/2024 00:00",1038,1294,470,853,777,1601,640,221,4122,593,1493,13102
"10/09/2024 01:00",1012,1267,449,829,752,1523,624,213,3942,593,1461,12665
"10/09/2024 02:00",1003,1240,432,816,736,1481,617,208,3826,593,1442,12394
"10/09/2024 03:00",1000,1231,426,812,730,1464,615,203,3760,593,1435,12269
"10/09/2024 04:00",1021,1259,430,829,742,1496,632,206,3777,598,1449,12439
"10/09/2024 05:00",1079,1355,455,879,786,1593,681,221,3971,609,1509,13138
"10/09/2024 06:00",1188,1519,508,972,859,1742,766,248,4412,630,1619,14463
"10/09/2024 07:00",1217,1582,543,1025,871,1799,790,257,4799,639,1678,15200
"10/09/2024 08:00",1144,1518,553,997,826,1770,757,261,5036,628,1676,15166
"10/09/2024 09:00",1070,1415,551,926,745,1676,700,258,5148,619,1640,14748
"10/09/2024 10:00",1035,1331,540,900,681,1593,663,252,5179,614,1617,14405
"10/09/2024 11:00",1015,1299,542,887,661,1557,649,246,5226,611,1612,14305
"10/09/2024 12:00",1011,1295,543,892,668,1538,643,247,5290,612,1603,14342
"10/09/2024 13:00",1012,1302,552,902,671,1603,637,248,5344,612,1620,14503
"10/09/2024 14:00",1028,1302,552,909,687,1656,645,253,5366,613,1606,14617
"10/09/2024 15:00",1084,1355,558,921,738,1739,658,257,5386,617,1604,14917
"10/09/2024 16:00",1160,1418,578,950,821,1862,707,264,5430,625,1610,15425
"10/09/2024 17:00",1259,1520,604,1014,918,2011,769,279,5455,637,1638,16104
"10/09/2024 18:00",1341,1639,627,1076,1012,2187,842,300,5409,648,1672,16753
"10/09/2024 19:00",1355,1672,634,1100,1049,2229,861,306,5360,654,1709,16929
"10/09/2024 20:00",1309,1625,611,1069,1018,2167,831,294,5198,645,1699,16466
"10/09/2024 21:00",1238,1544,583,1014,963,2052,785,281,5000,630,1667,15757
"10/09/2024 22:00",1156,1451,547,951,899,1906,731,262,4710,617,1607,14837
"10/09/2024 23:00",1092,1370,505,899,837,1753,684,237,4389,608,1546,13920
"10/10/2024 00:00",1050,1310,463,857,785,1586,645,225,4099,603,1495,13118
"10/10/2024 01:00",1023,1276,443,833,760,1508,629,215,3922,602,1464,12675
"10/10/2024 02:00",1015,1250,425,819,744,1466,623,212,3805,602,1448,12409
"10/10/2024 03:00",1013,1248,419,816,737,1449,621,208,3736,601,1439,12287
"10/10/2024 04:00",1036,1279,423,833,748,1482,639,211,3750,607,1457,12465
"10/10/2024 05:00",1091,1372,449,884,790,1579,689,228,3938,619,1516,13155
"10/10/2024 06:00",1200,1539,504,979,863,1728,775,254,4387,645,1623,14497
"10/10/2024 07:00",1225,1623,540,1041,879,1783,809,267,4775,659,1685,15286
"10/10/2024 08:00",1162,1597,546,1033,832,1778,790,271,5031,653,1692,15385
"10/10/2024 09:00",1086,1530,543,979,741,1700,739,266,5164,646,1678,15072
"10/10/2024 10:00",1049,1465,535,940,678,1630,694,262,5201,638,1657,14749
"10/10/2024 11:00",1023,1425,537,912,645,1617,665,257,5238,633,1633,14585
"10/10/2024 12:00",1007,1405,533,895,633,1612,647,253,5267,631,1612,14495
"10/10/2024 13:00",1002,1382,535,879,631,1654,635,248,5284,627,1608,14485
"10/10/2024 14:00",1000,1349,539,869,658,1708,627,253,5303,626,1586,14518
"10/10/2024 15:00",1031,1356,551,860,703,1779,634,260,5329,632,1570,14705
"10/10/2024 16:00",1098,1381,566,872,785,1881,683,262,5364,639,1562,15093
"10/10/2024 17:00",1212,1494,584,947,898,2004,757,274,5387,649,1599,15805
"10/10/2024 18:00",1325,1632,608,1045,1010,2169,844,297,5344,656,1651,16581
"10/10/2024 19:00",1356,1683,616,1089,1048,2212,866,304,5295,661,1698,16828
"10/10/2024 20:00",1320,1648,599,1069,1026,2155,839,292,5141,654,1692,16435
"10/10/2024 21:00",1253,1564,574,1022,975,2046,794,283,4951,638,1666,15766
"10/10/2024 22:00",1169,1468,541,961,913,1905,741,265,4672,625,1609,14869
"10/10/2024 23:00",1104,1387,502,908,849,1755,692,240,4360,616,1551,13964
"10/11/2024 00:00",1057,1322,463,864,794,1599,655,232,4090,608,1514,13198
"10/11/2024 01:00",1029,1289,444,839,768,1525,636,223,3919,605,1481,12758
"10/11/2024 02:00",1019,1263,428,823,752,1483,628,220,3795,603,1463,12477
"10/11/2024 03:00",1015,1255,424,818,746,1467,625,216,3727,603,1456,12352
"10/11/2024 04:00",1036,1289,428,833,758,1501,642,218,3746,608,1469,12528
"10/11/2024 05:00",1090,1389,452,882,800,1594,689,233,3942,617,1523,13211
"10/11/2024 06:00",1190,1543,503,964,870,1739,768,258,4378,640,1617,14470
"10/11/2024 07:00",1205,1581,540,996,879,1793,778,267,4756,649,1669,15113
"10/11/2024 08:00",1121,1473,545,933,820,1751,708,271,4985,638,1664,14909
"10/11/2024 09:00",1018,1331,538,849,714,1659,617,262,5099,620,1628,14335
"10/11/2024 10:00",946,1229,527,820,644,1594,550,254,5127,608,1596,13895
"10/11/2024 11:00",911,1189,524,810,604,1569,512,246,5174,603,1576,13718
"10/11/2024 12:00",891,1177,520,811,582,1562,499,242,5203,597,1553,13637
"10/11/2024 13:00",893,1163,521,810,574,1595,489,237,5216,594,1551,13643
"10/11/2024 14:00",890,1147,524,811,599,1683,479,244,5244,587,1530,13738
"10/11/2024 15:00",951,1158,537,808,651,1771,495,250,5277,593,1522,14013
"10/11/2024 16:00",1047,1229,551,824,746,1843,556,255,5313,610,1526,14500
"10/11/2024 17:00",1171,1390,574,898,869,1937,667,267,5341,624,1562,15300
"10/11/2024 18:00",1272,1551,601,995,975,2091,778,289,5280,635,1608,16075
"10/11/2024 19:00",1285,1579,602,1026,1008,2130,796,293,5232,638,1642,16231
"10/11/2024 20:00",1251,1537,582,1005,982,2073,775,281,5080,635,1637,15838
"10/11/2024 21:00",1204,1479,561,968,945,1988,745,274,4908,622,1618,15312
"10/11/2024 22:00",1143,1403,537,918,899,1885,703,262,4663,611,1573,14597
"10/11/2024 23:00",1085,1332,501,869,843,1763,657,242,4397,602,1514,13805
"10/12/2024 00:00",1027,1262,461,829,785,1600,615,229,4145,598,1458,13009
"10/12/2024 01:00",995,1225,435,803,755,1513,595,224,3961,597,1423,12526
"10/12/2024 02:00",974,1198,419,786,738,1465,581,216,3838,595,1404,12214
"10/12/2024 03:00",966,1188,408,777,729,1440,577,213,3762,593,1392,12045
"10/12/2024 04:00",969,1193,408,778,729,1447,583,214,3737,594,1396,12048
"10/12/2024 05:00",988,1225,419,795,744,1486,597,219,3792,598,1414,12277
"10/12/2024 06:00",1024,1280,439,823,770,1568,628,232,3935,603,1438,12740
"10/12/2024 07:00",1062,1336,457,864,794,1610,662,247,4099,615,1475,13221
"10/12/2024 08:00",1058,1330,483,863,793,1635,646,258,4285,622,1498,13471
"10/12/2024 09:00",1014,1261,492,812,731,1608,588,262,4425,618,1480,13291
"10/12/2024 10:00",936,1186,495,778,657,1568,529,256,4545,614,1449,13013
"10/12/2024 11:00",890,1133,496,767,609,1507,486,243,4629,611,1428,12799
"10/12/2024 12:00",870,1101,488,755,574,1457,464,236,4686,606,1419,12656
"10/12/2024 13:00",851,1092,480,744,560,1445,456,234,4705,600,1416,12583
"10/12/2024 14:00",858,1089,486,736,582,1493,448,235,4751,596,1412,12686
"10/12/2024 15:00",903,1126,496,740,612,1585,469,240,4798,603,1429,13001
"10/12/2024 16:00",994,1214,509,778,699,1694,523,248,4856,612,1455,13582
"10/12/2024 17:00",1119,1348,531,866,830,1827,632,261,4898,625,1492,14429
"10/12/2024 18:00",1221,1478,559,974,942,1982,733,276,5000,633,1546,15344
"10/12/2024 19:00",1239,1513,565,1007,972,2019,753,289,4973,637,1586,15553
"10/12/2024 20:00",1207,1487,558,984,951,1988,726,279,4893,632,1580,15285
"10/12/2024 21:00",1163,1443,548,956,925,1926,698,273,4790,623,1565,14910
"10/12/2024 22:00",1100,1372,527,916,873,1837,662,257,4615,616,1528,14303
"10/12/2024 23:00",1043,1307,498,867,819,1725,620,236,4377,611,1469,13572
"10/13/2024 00:00",994,1245,459,811,769,1592,581,225,4132,600,1426,12834
"10/13/2024 01:00",966,1216,433,786,736,1509,565,219,3961,598,1394,12383
"10/13/2024 02:00",947,1191,417,770,718,1460,553,210,3835,597,1376,12074
"10/13/2024 03:00",941,1187,405,761,708,1429,550,208,3754,597,1368,11908
"10/13/2024 04:00",943,1187,404,758,706,1425,555,208,3716,600,1368,11870
"10/13/2024 05:00",956,1212,410,768,714,1439,567,209,3745,605,1375,12000
"10/13/2024 06:00",979,1259,422,788,727,1481,588,218,3828,614,1397,12301
"10/13/2024 07:00",987,1268,432,800,741,1507,596,230,3945,622,1412,12540
"10/13/2024 08:00",964,1218,449,776,735,1530,558,242,4116,622,1422,12632
"10/13/2024 09:00",920,1145,456,746,667,1493,513,247,4256,617,1419,12479
"10/13/2024 10:00",855,1104,459,754,583,1431,479,243,4373,615,1413,12309
"10/13/2024 11:00",833,1107,460,768,542,1367,458,231,4470,615,1416,12267
"10/13/2024 12:00",833,1133,458,784,524,1318,456,227,4528,613,1422,12296
"10/13/2024 13:00",837,1176,459,798,532,1331,459,226,4569,611,1433,12431
