"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/30/2024 00:05:00","CAPITL",61757,28.98,1.22,0.00
"06/30/2024 00:05:00","CENTRL",61754,27.68,-0.08,0.00
"06/30/2024 00:05:00","DUNWOD",61760,29.84,2.08,0.00
"06/30/2024 00:05:00","GENESE",61753,27.26,-0.50,0.00
"06/30/2024 00:05:00","H Q",61844,27.34,-0.42,0.00
"06/30/2024 00:05:00","HUD VL",61758,29.54,1.78,0.00
"06/30/2024 00:05:00","LONGIL",61762,30.20,2.44,0.00
"06/30/2024 00:05:00","MHK VL",61756,28.20,0.44,0.00
"06/30/2024 00:05:00","MILLWD",61759,29.67,1.91,0.00
"06/30/2024 00:05:00","N.Y.C.",61761,30.06,2.30,0.00
"06/30/2024 00:05:00","NORTH",61755,27.26,-0.50,0.00
"06/30/2024 00:05:00","NPX",61845,28.81,1.05,0.00
"06/30/2024 00:05:00","O H",61846,26.15,-1.61,0.00
"06/30/2024 00:05:00","PJM",61847,28.15,0.39,0.00
"06/30/2024 00:05:00","WEST",61752,26.68,-1.08,0.00
"06/30/2024 00:10:00","CAPITL",61757,28.95,1.22,0.00
"06/30/2024 00:10:00","CENTRL",61754,27.62,-0.11,0.00
"06/30/2024 00:10:00","DUNWOD",61760,29.84,2.11,0.00
"06/30/2024 00:10:00","GENESE",61753,27.15,-0.58,0.00
"06/30/2024 00:10:00","H Q",61844,27.32,-0.42,0.00
"06/30/2024 00:10:00","HUD VL",61758,29.51,1.78,0.00
"06/30/2024 00:10:00","LONGIL",61762,30.20,2.47,0.00
"06/30/2024 00:10:00","MHK VL",61756,28.21,0.47,0.00
"06/30/2024 00:10:00","MILLWD",61759,29.68,1.94,0.00
"06/30/2024 00:10:00","N.Y.C.",61761,30.04,2.30,0.00
"06/30/2024 00:10:00","NORTH",61755,27.26,-0.47,0.00
"06/30/2024 00:10:00","NPX",61845,28.81,1.08,0.00
"06/30/2024 00:10:00","O H",61846,26.04,-1.69,0.00
"06/30/2024 00:10:00","PJM",61847,28.12,0.39,0.00
"06/30/2024 00:10:00","WEST",61752,26.57,-1.16,0.00
"06/30/2024 00:15:00","CAPITL",61757,32.14,1.35,0.00
"06/30/2024 00:15:00","CENTRL",61754,30.75,-0.03,0.00
"06/30/2024 00:15:00","DUNWOD",61760,33.06,2.28,0.00
"06/30/2024 00:15:00","GENESE",61753,30.26,-0.52,0.00
"06/30/2024 00:15:00","H Q",61844,30.32,-0.46,0.00
"06/30/2024 00:15:00","HUD VL",61758,32.69,1.91,0.00
"06/30/2024 00:15:00","LONGIL",61762,33.49,2.71,0.00
"06/30/2024 00:15:00","MHK VL",61756,31.27,0.49,0.00
"06/30/2024 00:15:00","MILLWD",61759,32.88,2.09,0.00
"06/30/2024 00:15:00","N.Y.C.",61761,33.27,2.49,0.00
"06/30/2024 00:15:00","NORTH",61755,30.23,-0.55,0.00
"06/30/2024 00:15:00","NPX",61845,31.95,1.17,0.00
"06/30/2024 00:15:00","O H",61846,29.09,-1.69,0.00
"06/30/2024 00:15:00","PJM",61847,31.24,0.46,0.00
"06/30/2024 00:15:00","WEST",61752,29.64,-1.14,0.00
"06/30/2024 00:20:00","CAPITL",61757,32.10,1.35,0.00
"06/30/2024 00:20:00","CENTRL",61754,30.69,-0.06,0.00
"06/30/2024 00:20:00","DUNWOD",61760,33.03,2.28,0.00
"06/30/2024 00:20:00","GENESE",61753,30.20,-0.55,0.00
"06/30/2024 00:20:00","H Q",61844,30.29,-0.46,0.00
"06/30/2024 00:20:00","HUD VL",61758,32.69,1.94,0.00
"06/30/2024 00:20:00","LONGIL",61762,33.46,2.71,0.00
"06/30/2024 00:20:00","MHK VL",61756,31.24,0.49,0.00
"06/30/2024 00:20:00","MILLWD",61759,32.87,2.12,0.00
"06/30/2024 00:20:00","N.Y.C.",61761,33.24,2.49,0.00
"06/30/2024 00:20:00","NORTH",61755,30.17,-0.59,0.00
"06/30/2024 00:20:00","NPX",61845,31.95,1.20,0.00
"06/30/2024 00:20:00","O H",61846,29.00,-1.75,0.00
"06/30/2024 00:20:00","PJM",61847,31.21,0.46,0.00
"06/30/2024 00:20:00","WEST",61752,29.58,-1.17,0.00
"06/30/2024 00:25:00","CAPITL",61757,32.17,1.35,0.00
