"Forecast Date","Vintage Date","Vintage","Station ID","Max Temp","Min Temp","Max Wet Bulb","Min Wet Bulb"
"11/17/2023","11/14/2023","Actual","ALB",49,31,42,30
"11/17/2023","11/14/2023","Actual","ART",43,35,41,33
"11/17/2023","11/14/2023","Actual","BGM",41,33,38,30
"11/17/2023","11/14/2023","Actual","BUF",47,36,41,34
"11/17/2023","11/14/2023","Actual","ELM",48,26,40,25
"11/17/2023","11/14/2023","Actual","ELZ",45,32,38,30
"11/17/2023","11/14/2023","Actual","FOK",52,34,45,32
"11/17/2023","11/14/2023","Actual","FRG",54,38,44,35
"11/17/2023","11/14/2023","Actual","GFL",40,26,38,26
"11/17/2023","11/14/2023","Actual","HPN",53,38,43,34
"11/17/2023","11/14/2023","Actual","IAG",49,35,41,33
"11/17/2023","11/14/2023","Actual","ISP",54,34,44,33
"11/17/2023","11/14/2023","Actual","ITH",44,26,41,25
"11/17/2023","11/14/2023","Actual","JFK",54,42,44,37
"11/17/2023","11/14/2023","Actual","LGA",53,45,43,39
"11/17/2023","11/14/2023","Actual","MSS",40,32,37,31
"11/17/2023","11/14/2023","Actual","MSV",43,25,39,25
"11/17/2023","11/14/2023","Actual","NYC",53,43,43,37
"11/17/2023","11/14/2023","Actual","PLB",39,33,36,32
"11/17/2023","11/14/2023","Actual","POU",53,29,43,28
"11/17/2023","11/14/2023","Actual","ROC",46,31,41,29
"11/17/2023","11/14/2023","Actual","SLK",33,30,32,29
"11/17/2023","11/14/2023","Actual","SWF",50,34,43,32
"11/17/2023","11/14/2023","Actual","SYR",45,33,42,31
"11/17/2023","11/14/2023","Actual","UCA",41,30,38,30
"11/17/2023","11/15/2023","Actual","ALB",51,29,42,28
"11/17/2023","11/15/2023","Actual","ART",55,34,44,32
"11/17/2023","11/15/2023","Actual","BGM",53,28,43,27
"11/17/2023","11/15/2023","Actual","BUF",57,34,45,32
"11/17/2023","11/15/2023","Actual","ELM",61,21,46,20
"11/17/2023","11/15/2023","Actual","ELZ",57,30,43,29
"11/17/2023","11/15/2023","Actual","FOK",50,29,45,28
"11/17/2023","11/15/2023","Actual","FRG",51,33,45,31
"11/17/2023","11/15/2023","Actual","GFL",46,25,40,25
"11/17/2023","11/15/2023","Actual","HPN",51,31,43,29
"11/17/2023","11/15/2023","Actual","IAG",58,31,45,29
"11/17/2023","11/15/2023","Actual","ISP",52,30,45,29
"11/17/2023","11/15/2023","Actual","ITH",54,24,44,23
"11/17/2023","11/15/2023","Actual","JFK",50,37,45,35
"11/17/2023","11/15/2023","Actual","LGA",53,42,43,37
"11/17/2023","11/15/2023","Actual","MSS",50,25,42,24
"11/17/2023","11/15/2023","Actual","MSV",52,21,44,21
"11/17/2023","11/15/2023","Actual","NYC",53,40,44,36
"11/17/2023","11/15/2023","Actual","PLB",46,32,41,31
"11/17/2023","11/15/2023","Actual","POU",54,24,44,23
"11/17/2023","11/15/2023","Actual","ROC",58,32,45,30
"11/17/2023","11/15/2023","Actual","SLK",41,21,36,20
"11/17/2023","11/15/2023","Actual","SWF",54,27,45,26
"11/17/2023","11/15/2023","Actual","SYR",58,30,45,28
"11/17/2023","11/15/2023","Actual","UCA",51,26,44,26
"11/17/2023","11/16/2023","Actual","ALB",60,32,48,30
"11/17/2023","11/16/2023","Actual","ART",56,39,49,38
"11/17/2023","11/16/2023","Actual","BGM",61,40,49,35
"11/17/2023","11/16/2023","Actual","BUF",56,40,48,37
"11/17/2023","11/16/2023","Actual","ELM",66,26,51,25
"11/17/2023","11/16/2023","Actual","ELZ",61,36,49,32
"11/17/2023","11/16/2023","Actual","FOK",60,39,51,38
"11/17/2023","11/16/2023","Actual","FRG",65,41,53,40
"11/17/2023","11/16/2023","Actual","GFL",57,25,47,25
"11/17/2023","11/16/2023","Actual","HPN",63,39,49,37
"11/17/2023","11/16/2023","Actual","IAG",59,32,50,31
"11/17/2023","11/16/2023","Actual","ISP",63,39,52,38
"11/17/2023","11/16/2023","Actual","ITH",61,28,49,27
"11/17/2023","11/16/2023","Actual","JFK",61,41,52,39
"11/17/2023","11/16/2023","Actual","LGA",65,47,52,42
"11/17/2023","11/16/2023","Actual","MSS",56,35,45,34
"11/17/2023","11/16/2023","Actual","MSV",61,24,49,24
"11/17/2023","11/16/2023","Actual","NYC",64,46,49,41
"11/17/2023","11/16/2023","Actual","PLB",54,35,47,34
"11/17/2023","11/16/2023","Actual","POU",64,31,50,30
"11/17/2023","11/16/2023","Actual","ROC",61,33,50,31
"11/17/2023","11/16/2023","Actual","SLK",51,25,42,24
"11/17/2023","11/16/2023","Actual","SWF",63,36,49,34
"11/17/2023","11/16/2023","Actual","SYR",62,35,49,32
"11/17/2023","11/16/2023","Actual","UCA",56,28,47,28
"11/17/2023","11/17/2023","Forecast","ALB",62,35,54,33
"11/17/2023","11/17/2023","Forecast","ART",56,42,51,40
"11/17/2023","11/17/2023","Forecast","BGM",59,49,51,40
"11/17/2023","11/17/2023","Forecast","BUF",60,40,52,37
"11/17/2023","11/17/2023","Forecast","ELM",58,31,52,30
"11/17/2023","11/17/2023","Forecast","ELZ",55,43,51,40
"11/17/2023","11/17/2023","Forecast","FOK",60,41,55,40
"11/17/2023","11/17/2023","Forecast","FRG",61,40,56,40
"11/17/2023","11/17/2023","Forecast","GFL",57,27,51,26
"11/17/2023","11/17/2023","Forecast","HPN",62,40,55,39
"11/17/2023","11/17/2023","Forecast","IAG",63,41,53,37
"11/17/2023","11/17/2023","Forecast","ISP",60,41,56,41
"11/17/2023","11/17/2023","Forecast","ITH",58,44,51,40
"11/17/2023","11/17/2023","Forecast","JFK",61,45,56,43
"11/17/2023","11/17/2023","Forecast","LGA",65,50,57,45
"11/17/2023","11/17/2023","Forecast","MSS",57,39,50,37
"11/17/2023","11/17/2023","Forecast","MSV",58,27,51,26
"11/17/2023","11/17/2023","Forecast","NYC",65,52,56,46
"11/17/2023","11/17/2023","Forecast","PLB",54,34,49,33
"11/17/2023","11/17/2023","Forecast","POU",62,32,54,31
"11/17/2023","11/17/2023","Forecast","ROC",58,43,54,41
"11/17/2023","11/17/2023","Forecast","SLK",54,25,48,24
"11/17/2023","11/17/2023","Forecast","SWF",61,30,54,29
"11/17/2023","11/17/2023","Forecast","SYR",62,44,53,39
"11/17/2023","11/17/2023","Forecast","UCA",58,39,52,37
"11/17/2023","11/18/2023","Forecast","ALB",55,35,53,31
"11/17/2023","11/18/2023","Forecast","ART",41,32,39,30
"11/17/2023","11/18/2023","Forecast","BGM",48,33,45,30
"11/17/2023","11/18/2023","Forecast","BUF",42,35,37,33
"11/17/2023","11/18/2023","Forecast","ELM",45,32,43,29
"11/17/2023","11/18/2023","Forecast","ELZ",41,32,39,29
"11/17/2023","11/18/2023","Forecast","FOK",55,37,54,33
"11/17/2023","11/18/2023","Forecast","FRG",56,39,55,34
"11/17/2023","11/18/2023","Forecast","GFL",51,29,50,27
"11/17/2023","11/18/2023","Forecast","HPN",56,38,54,32
"11/17/2023","11/18/2023","Forecast","IAG",44,35,38,33
"11/17/2023","11/18/2023","Forecast","ISP",55,38,55,33
"11/17/2023","11/18/2023","Forecast","ITH",43,32,42,30
"11/17/2023","11/18/2023","Forecast","JFK",57,40,56,34
"11/17/2023","11/18/2023","Forecast","LGA",60,44,56,36
"11/17/2023","11/18/2023","Forecast","MSS",38,31,36,28
"11/17/2023","11/18/2023","Forecast","MSV",49,29,49,27
"11/17/2023","11/18/2023","Forecast","NYC",60,42,56,35
"11/17/2023","11/18/2023","Forecast","PLB",43,30,41,27
"11/17/2023","11/18/2023","Forecast","POU",54,33,52,29
"11/17/2023","11/18/2023","Forecast","ROC",43,37,39,34
"11/17/2023","11/18/2023","Forecast","SLK",38,26,38,24
"11/17/2023","11/18/2023","Forecast","SWF",56,36,53,31
"11/17/2023","11/18/2023","Forecast","SYR",46,35,44,32
"11/17/2023","11/18/2023","Forecast","UCA",45,32,45,30
